CUANTIA;TOTAL PENSIONES;INCAPACIDAD PERMANENTE;JUBILACION;VIUDEDAD;ORFANDAD;FAVOR DE FAMILIARES
De 0,00 a 150,00;147928;2119;82576;47279;15312;642
De 150,01 a 250,00;198996;2163;44064;32784;115680;4305
De 250,01 a 300,00;93372;1558;32323;30827;28016;648
De 300,01 a 350,00;134013;2159;41728;67903;21630;593
De 350,01 a 400,00;238097;7352;61323;152024;16816;582
De 400,01 a 450,00;207837;7544;90830;95096;13381;986
De 450,01 a 500,00;293739;12764;160764;109012;10637;562
De 500,01 a 550,00;291988;13914;170981;86304;12287;8502
De 550,01 a 600,00;286588;116904;75313;74621;7666;12084
De 600,01 a 650,00;185060;48462;65855;61562;7600;1581
De 650,01 a 700,00;220351;53192;93808;59216;12988;1147
De 700,01 a 750,00;739346;62573;592810;74062;8969;932
De 750,01 a 800,00;997619;67651;507798;416920;4151;1099
De 800,01 a 850,00;473581;40056;244617;149279;38701;928
De 850,01 a 900,00;322114;40070;178907;100296;1995;846
De 900,01 a 950,00;333477;42790;199869;87530;2374;914
De 950,01 a 1000,00;443644;38255;339939;62907;1854;689
De 1000,01 a 1050,00;229086;28008;138257;60528;1572;721
De 1050,01 a 1079,99;127252;15683;77939;32307;915;408
De 1080,00 a 1100,00;82716;10126;50440;20901;828;421
De 1100,01 a 1200,00;391830;46826;242524;98364;2907;1209
De 1200,01 a 1300,00;375769;40168;245230;85913;3310;1148
De 1300,01 a 1400,00;325480;32977;224780;64011;2543;1169
De 1400,01 a 1500,00;295266;28981;211025;52053;2192;1015
De 1500,01 a 1600,00;259102;24028;190119;42820;1612;523
De 1600,01 a 1700,00;234792;20705;167899;44863;935;390
De 1700,01 a 1800,00;221000;18082;151953;49928;726;311
De 1800,01 a 1900,00;184983;15664;139382;29183;543;211
De 1900,01 a 2000,00;174318;13217;133141;27371;442;147
De 2000,01 a 2100,00;151667;10758;117646;22741;387;135
De 2100,01 a 2200,00;126902;9478;107972;9020;330;102
De 2200,01 a 2300,00;117402;8218;105347;3281;432;124
De 2300,01 a 2400,00;108433;7476;98978;1426;448;105
De 2400,01 a 2500,00;104699;7075;96760;323;433;108
De 2500,01 a 2600,00;102051;6434;95276;162;143;36
De 2600,01 a 2700,00;95573;5967;89442;104;55;5
De 2700,01 a 2800,00;90034;4865;85061;77;30;1
De 2800,01 a 2900,00;95028;3511;91440;54;22;1
De 2900,01 a 3000,00;130045;3128;126852;49;16;-
De 3000,01 a 3058,79;58654;1836;56796;19;3;-
De 3058,80 a 3058,82;300995;12797;288078;94;21;5
De 1,2 a 3058,82;94845;9282;85449;97;12;5